catalog_id,provider,program,mtss_tier,grade_band,grade_level,sequence_type,pathway_or_unit,unit_or_focus_area,lesson_or_item_number,item_title,item_type,recommended_role,default_duration_minutes,casel_competencies,pulse_skill_tags,behavior_support_function,licensed_content_key,implementation_status,source_url,notes
SS-CAT-0001,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,1,We Watch. We Listen. We Think.,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Relationship Skills",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0002,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,2,Why We Pay Attention,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Relationship Skills",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0003,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,3,Mistakes Are Okay!,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Relationship Skills",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0004,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,4,Practice Makes Better,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Relationship Skills",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0005,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,5,Let’s Practice and Learn!,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Relationship Skills",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0006,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,6,Sometimes We Feel Happy,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0007,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,7,Sometimes We Feel Sad,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0008,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,8,Sometimes We Feel Mad,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0009,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,9,We Can Feel Calm,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0010,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Kindergarten,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,10,What Are They Feeling?,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
